Text,string_City,score_Count People Found Review Helpful,date_Date Created,string_Name,score_Overall Rating,string_Place Location,string_State,string_User Name,Concepts
"(Summary of customer review)
The customer had a great experience at Mejuri, highlighting the wide selection of jewelry and friendly, helpful sales associates. They especially praised Dawn, the in-house piercer, for her knowledge, professionalism, patience, and personalized ear styling advice. The customer also appreciated the cleanliness and sterile environment of the piercing studio, emphasizing Dawn's adherence to strict safety protocols. Overall, the customer highly recommends Mejuri for both its jewelry and piercing services, emphasizing the top-notch customer experience and plans to return.
",Chestnut Hill,0,2025-02-07 00:00:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Rebecca Gaffney,
"(Summary of customer review)
The customer bought the wrong size chain and received great help at the Mejuri Chestnut Hill location. They praised the jewelry quality, the men's line, and the exceptional customer service. The customer recommends this store.
",Chestnut Hill,0,2025-02-09 00:00:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Duncan Speel,
"Dawn at Mejuri Chestnut Hill is highly recommended for ear piercings. She is praised for her thorough guidance and ability to make customers feel comfortable during the process. The customer is very happy with the piercing.
",Chestnut Hill,0,2025-02-09 00:00:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Amanda Reetz,
"(Summary of customer review)
The reviewer warns about Mejuri, highlighting their F rating from the Better Business Bureau. They purchased earrings that were too heavy and were unable to post a review on the company's website. They suggest viewing products in-store before buying and saving packaging for potential returns. Mejuri did not explain why the review wasn't posted but said they would pass along the product feedback.
",Boston,0,2025-01-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Carolyn Cerva,
"(Summary of customer review)
The customer had a lovely experience at Mejuri on Newbury. The staff were warm and welcoming and helped the customer pick out earrings. The customer recommends this location because of the quality, timeless, and affordable pieces.
",Boston,0,2024-12-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Suzy Chu,
"(Summary of customer review)
The customer had a negative experience purchasing hoops due to an unhelpful and unwelcoming employee. The employee didn't greet them, gave short, rushed answers, and seemed annoyed. The customer felt unwelcome and, despite liking the jewelry, is unlikely to return.
",Boston,0,2024-11-10 00:00:00,Mejuri,2,"126 Newbury St, Boston, MA",MA,Christine Byun,
"(The customer had a great experience at the Mejuri store due to the helpful and patient staff. They appreciated being able to examine and try on the jewelry, which made them more comfortable with buying from Mejuri after only considering online purchases. They will purchase from Mejuri again.)
",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Madison DeLacy,
"(Summary of customer review)
The customer attempted an exchange for a $100 gift, seeking store credit. After a delayed wait to find assistance, the employee processed a refund to the original payment method instead of providing store credit, despite being asked about the refund option beforehand. The employee stated the refund couldn't be undone, requiring the customer to contact the gift-giver, who is now abroad, creating an awkward situation. The customer is dissatisfied with the service.
",Boston,0,2024-12-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Ayra Enders,
"(Summary of customer review)
The customer had a great experience shopping on a weeknight due to the helpful and accommodating salespeople. They appreciated the assistance in finding the right piece within their budget and liked the wide selection. If something isn't in store, they will order it without fees or shipping costs.
",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Lena Owens,
"(Summary of customer review)
The customer had a positive experience at a jewelry store and felt welcomed. They were assisted by a Black female employee with braided extensions and would like to know her name.
",Boston,0,2024-08-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Stacy Arman,
"(Summary of customer review)
The customer had a great experience and went straight to the concierge desk where Luisa helped them get earrings quickly. They appreciated the great customer service and merchandise selection, and plan to return for piercings soon.
",Boston,0,2024-07-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Anna Potts,
"(The customer was excited about their new necklaces and felt excellent vibes. They were impressed with the queen staff's enthusiasm.)
",Boston,0,2024-11-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Eliza McKown,
Error processing review. Skipping.,Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Patty Longo,
"(Summary of customer review)
Holly, Paola, and the team are very friendly and respectful.
",Boston,0,2024-05-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Fadolo,
"(Summary of customer review)
The customer purchased a bracelet at Mejuri thanks to Nadia's excellent service. Nadia was helpful during both a short, busy visit two days prior and on the day of purchase, even remembering the previous interaction. The customer had a great overall experience.
",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ernest Goh,
"(Summary of customer review)
The customer was excited about Mejuri opening a store on Newbury. They visited the store, liked its clean aesthetic, and tried on earrings for size reference. Simone helped them purchase a pair of earrings they had been wanting. They enjoyed seeing the jewelry in person and plan to return for future purchases.
",Boston,0,2023-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Danielle Poublon,
"(Summary of customer review)
The customer had a great experience at the Mejuri store due to the helpful and accommodating staff. They were excited about the store's location and appreciated being able to try on the jewelry before purchasing.
",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Chirbee Dy,
"(Summary of customer review)
The customer received poor service at the store, with staff members displaying a lack of knowledge and unhelpfulness. One manager admitted to not knowing how Klarna worked, despite it being promoted in the store. The customer and their friend felt uncomfortable due to the staff's monotone demeanor and apparent disinterest in their jobs. The customer would not return to this store.
",Boston,1,2024-02-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,libra dom,
"(The staff were lovely and helpful during an exchange.)
",Boston,0,2024-09-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Madeleine Lewis Smith,
